Gender,age range,geographical zone,Academic Status, Education Level/Certificates (You can choose more than one),social Media Platforms , emerging technologies ,How do you access your social media platforms? (You can choose more than one),How long have you been using social networking sites?,How often do you visit your Social Network accounts?,"On average, how much time do you spend daily on a social networking site?",How many of your classmates are your contacts/friends on your social networking sites?,Why do you use social networks? (You can choose more than one),Incorporating social media platforms and emerging technologies highlighted earlier will enhance my productivity as a Student,Social media platforms and emerging technologies highlighted earlier could help facilitate learning and engage students at educational institutions?,Incorporating social media and emerging technologies as a teaching tool will increase my comprehension and assimilation as a student,Educational Learning via the social media platforms will be easy for me,Educational Learning via emerging technologies highlighted earlier will be easy for me, It will be beneficial for me to become skilful at using social media platforms and emerging technologies for learning, My colleagues think I should use social media and emerging technologies for learning,My family and friends will appreciate my use of social media and emerging technologies for learning,My privacy will be infringed if social media platforms and emerging technologies are proposed for teaching and learning,Internet availability and signal strength will be a problem in using the social media and emerging technologies for learning  ,Internet data bundles affordability will be a problem in using the social media and emerging technologies for learning  ,Power availability will be a problem in using the social media and emerging technologies for learning  ,I have the technical skills to use social media platforms and emerging technologies for learning,I will be willing to use social media platforms and emerging technologies for learning., I will be willing to devote the required time and energy for my learning activities via social media platforms and emerging technologies for learning.,"If you are not willing to use nor devote time to social media and emerging technologies for learning, State Why.",Are you presently involved in e-learning using any social media platform or emerging technologies earlier highlighted?,Which elearning courses or platforms are you currently engaged in.
Female,26 - 35,North Central (NC),Student - Full time,"First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;WhatsApp,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Laptop;Smatphone,3-5 years,Daily,Less than 1 hour,Less than 20,To find information;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;WhatsApp;YouTube,Facebook Live,Smatphone,1-2 years,Daily,1 - 6 hours per day,51- 100,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,No,
Male,26 - 35,South West (SW),Student - Full time,OND;Undegraduate (presently in University),Facebook;WhatsApp,Facebook Live;Whatsapp video call,Smatphone,1-2 years,Daily,1 - 6 hours per day,Less than 20,To find information;To play games;To keep in touch with family and friends;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram,"Facebook Live;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Artificial Intelligence (AI) via AI tutoring system using Robots, Holographic teacher",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),WhatsApp,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Daily,Less than 1 hour,Almost everyone,For academic purposes,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,,No,
Female,15 - 25,South East (SE),Student - Full time,Undegraduate (presently in University),WhatsApp,Web-based Elearning Platforms,Smatphone,3-5 years,Daily,Less than 1 hour,Almost everyone,For academic purposes,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,,No,
Male,26 - 35,North West (NW),Student - Full time,"SSCE;OND;HND;First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;YouTube;Google Plus,Zoom,Laptop;Smatphone;Tablet or Ipad,above 5 years,Daily,Always online,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;To share your experience,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,To save time,No,I think it's not real
Male,15 - 25,South West (SW),Student - Full time,"First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram,"Zoom;Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Web-based Elearning Platforms",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,"Global health, coursera, udemy, edd"
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Blogger.com;WeChat,Facebook Live,Smatphone,1-2 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE,Facebook;WhatsApp;Telegram;YouTube,Zoom;Facebook Live,Laptop;Smatphone,3-5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp,Facebook Live;Whatsapp tutorials,Laptop;Smatphone,1-11 months,Daily,1 - 6 hours per day,Less than 20,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp,Whatsapp,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,School tutorial on Whatsapp
Female,15 - 25,South West (SW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;WhatsApp;Google Plus,Facebook Live;Google Classroom,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,"The first problem is the issue of monthly subscription,and second is the poor power supply",Yes,"Daarul aathaar college, IOU"
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;WhatsApp;Blogger.com;Google Plus,Web-based Elearning Platforms,Laptop;Smatphone,above 5 years,Daily,Less than 1 hour,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,No,
Male,15 - 25,North East (NE),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram,None,Smatphone,1-2 years,Daily,Less than 1 hour,Less than 20,To find information;To keep in touch with family and friends;For academic purposes,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,Yes,
Female,15 - 25,South West (SW),Student - Full time,SSCE,Facebook;WhatsApp,Facebook Live,Smatphone,1-2 years,Daily,Less than 1 hour,Less than 20,To get latest information/gist,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE,Facebook;WhatsApp;Snapchat,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,,No,
Male,15 - 25,South East (SE),Student - Full time,Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Snapchat,"Facebook Live;Google Classroom;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Desktop;Smatphone,3-5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"It will not be very convenient for everyone
It is not everyone that have time for social media thing.
And also e-learning is incomparable to learning seeing the lecturer ,
Seeing the lecturer make things lively just as seeing ones colleague all around.",Yes,Digital skill for africa
Female,15 - 25,North West (NW),Student - Full time,SSCE;Undegraduate (presently in University),Twitter;WhatsApp;Telegram;Snapchat,Gamification via Games-based learning (GBL),Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make new friends;To get latest information/gist;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Pinterest;Snapchat,Whatsapp,Smatphone,above 5 years,Weekly,1 - 6 hours per day,51- 100,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,"Why won't I devote my time to learn via social media???? No, I will
But let's think about others😟,isn't everyone of us as a student has a smartphone or laptop.....and even if we all do....let's think about subscription 
Let me use myself as an example, am sure his message wasn't sent to us today but look at am me....am  just seeing this because I just sub and charge my phone

So I'll suggest that we should think or consider some better ways that won't affect or give us tough time as a student

Thank you😊",No,None
Female,15 - 25,North West (NW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;YouTube;Pinterest,Google Classroom,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,,Yes,goggle classroom
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram,Skill aquisition,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To get latest information/gist;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,No,
Female,26 - 35,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;WhatsApp;LinkedIn;Snapchat,Facebook Live,Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,"First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest;Blogger.com,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,above 5 years,Daily,7 - 12 hours per day,Less than 20,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,"Am not willing because it will inteude my privacy,I don't always have money for data,power supply too.",No,None
Female,15 - 25,North West (NW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp,Facebook Live,Smatphone,above 5 years,Daily,Less than 1 hour,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;Pinterest;Snapchat;Google Plus;Tumblr;WeChat,"Zoom;Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,,Yes,"Cousera, philanthropy University, shaw academy, international open university.......... Etc"
Female,15 - 25,North East (NE),Student - Full time,SSCE,Facebook;WhatsApp,Facebook Live,Tablet or Ipad,1-2 years,Daily,7 - 12 hours per day,20 - 50,To find information;To keep in touch with family and friends;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;WhatsApp;Blogger.com,Zoom,Smatphone,above 5 years,Daily,Always online,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;For academic purposes,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram,Facebook Live,Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,,No,
Female,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;WhatsApp;Snapchat,Facebook Live,Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;To while away time,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,,No,
Female,15 - 25,South West (SW),Non Students,"First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Pinterest;Snapchat,Facebook Live,Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Telegram;YouTube,"Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Web-based Elearning Platforms",Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,,Yes,Digital marketing  / whatsapp
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;YouTube,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,No,
Male,26 - 35,South West (SW),Student - Full time,SSCE;OND;Undegraduate (presently in University),Facebook;WhatsApp,Google Classroom;Microsoft's Team,Laptop;Smatphone,above 5 years,Daily,Less than 1 hour,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;For academic purposes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,It's time consuming. ,No,No
Female,15 - 25,South West (SW),Student - Full time,SSCE,Instagram;WhatsApp;YouTube,Google Classroom,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,
Female,15 - 25,South East (SE),Student - Full time,SSCE,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube,Facebook Live,Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,,No,
Female,15 - 25,South West (SW),Student - Full time,SSCE,Facebook;Twitter;Instagram;WhatsApp;Snapchat,Facebook Live,Smatphone,3-5 years,Daily,Always online,Almost everyone,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,"First Degree (BSc, B.Tech, B.Edu, ...)",WhatsApp,Facebook Live,Desktop,1-2 years,Occassionally,Less than 1 hour,Less than 20,To get latest information/gist,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,No,No one
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;LinkedIn;YouTube,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Laptop;Smatphone,3-5 years,Daily,Always online,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,,Yes,Cousera
Male,15 - 25,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;Snapchat,"Google Classroom;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Web-based Elearning Platforms",Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,,Yes,Digital marketing 
Male,15 - 25,South West (SW),Student - Full time,SSCE,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;Snapchat,Facebook Live,Smatphone,1-11 months,Daily,1 - 6 hours per day,Less than 20,To find information;To keep in touch with family and friends;To while away time,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,,No,
Male,26 - 35,South West (SW),Student - Full time,Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;LinkedIn,Non,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,,No,
Female,15 - 25,North West (NW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Pinterest;Snapchat,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Weekly,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Social medium platforms 
Female,15 - 25,North West (NW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Pinterest;Snapchat,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Weekly,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Social medium platforms 
Female,15 - 25,North West (NW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Pinterest;Snapchat,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,3-5 years,Weekly,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Social medium platforms 
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Twitter;Instagram;WhatsApp;LinkedIn,Facebook Live;Google Classroom,Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Alison course
Male,26 - 35,South South (SS),Non Students,"SSCE;First Degree (BSc, B.Tech, B.Edu, ...)",WhatsApp,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To keep in touch with family and friends;To share your experience,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,"Network strength is weak
Power availability is poor
Poor level of concentration
Data subscription would be a problem
",No,
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;Instagram;WhatsApp;Telegram;Snapchat,Zoom,Smatphone,3-5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;WhatsApp;YouTube,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,,No,
Male,15 - 25,South West (SW),Student - Full time,"First Degree (BSc, B.Tech, B.Edu, ...)",Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube,"Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Laptop;Desktop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,,Yes,Pluralsight
Female,15 - 25,South West (SW),Student - Full time,SSCE;Undegraduate (presently in University),Facebook;WhatsApp;YouTube;Pinterest,Facebook Live,Desktop;Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,,No,
